District,Constituency,Expected Winning Party (By PPA on 11-11-25),Actual Winner (after results on 14-11-25),Expected Votes (By PPA on 11-11-25),Actual Votes (after results on 14-11-25),Vote Diff,Runner-Up (By PPA on 11-11-25),Actual Runner-Up (after results on 14-11-25),Runner-Up Votes (By PPA on 11-11-25),Actual Runner-Up Votes (after results on 14-11-25),Winning Margin (By PPA on 11-11-25),Actual Margin (after results on 14-11-25),Error Margin ±5000 proposed (By PPA on 11-11-25),After Adjustment actual diffence
KATIHARकटिहार,63 - KATIHARकटिहार,BJP (NDA),BJP (NDA),-,-,-,-,-,-,-,-,-,±5000,-
,64 - KADWAकदवा,INC (MGB),JDU (NDA),-,-,-,-,-,-,-,-,-,±5000,-
,65 - BALRAMPURबलरामपुर,CPIML (MGB),LJP (NDA),-,-,-,-,-,-,-,-,-,±5000,-
,66 - PRANPURप्राणपुर,BJP (NDA),BJP (NDA),-,-,-,-,-,-,-,-,-,±5000,-
,67 - MANIHARI (ST)मनीहारी (ज.जा.),JDU (NDA),INC (MGB),-,-,-,-,-,-,-,-,-,±5000,-
,68 - BARARIबरारी,JDU (NDA),JDU (NDA),-,-,-,-,-,-,-,-,-,±5000,-
,69 - KORHA (SC)कोरहा (अ.जा.),BJP (NDA),BJP (NDA),-,-,-,-,-,-,-,-,-,±5000,-
MADHEPURAमधेपुरा,70 - ALAMNAGARआलमनगर,JDU (NDA),JDU (NDA),-,-,-,-,-,-,-,-,-,±5000,-
,71 - BIHARIGANJबिहारीगंज,JDU (NDA),JDU (NDA),-,-,-,-,-,-,-,-,-,±5000,-
,72 - SINGHESHWAR (SC)सिंगेश्वर (अ.जा.),JDU (NDA),JDU (NDA),110169,106416,-3753,RJD (MGB),RJD (MGB),99677,103434,10492,2982,3492,-510
,73 - MADHEPURAमधेपुरा,RJD (MGB),RJD (MGB),95414,108464,13050,JDU (NDA),JDU (NDA),57729,100655,42584,7809,35584,-27775
SAHARSAसहरसा,74 - SONBARSHA (SC)सोनबर्षा (अ.जा.),JDU (NDA),JDU (NDA),-,-,-,-,-,-,-,-,-,±5000,-
,75 - SAHARSAसहरसा,BJP (NDA),BJP (NDA),-,-,-,-,-,-,-,-,-,±5000,-
,76 - SIMRI BAKHTIARPURसिमरी बख्तियारपुर,RJD (MGB),LJP (NDA),-,-,-,-,-,-,-,-,-,±5000,-
,77 - MAHISHIमहिषी,JDU (NDA),RJD (MGB),-,-,-,-,-,-,-,-,-,±5000,-
,78 - KUSHESHWAR ASTHAN (SC)कुशेश्वर स्थान(अ.जा.),JDU (NDA),JDU (NDA),-,-,-,-,-,-,-,-,-,±5000,-
DARBHANGAदरभंगा,79 - GAURA BAURAMगौरा बौराम,VIP,BJP (NDA),-,-,-,-,-,-,-,-,-,±5000,-
,80 - BENIPURबेनीपुर,JDU (NDA),JDU (NDA),-,-,-,-,-,-,-,-,-,±5000,-
,81 - ALINAGARअलीनगर,RJD (MGB),BJP (NDA),-,-,-,-,-,-,-,-,-,±5000,-
,82 - DARBHANGA RURALदरभंगा ग्रामीण,JDU (NDA),JDU (NDA),85701,80624,-5077,RJD (MGB),RJD (MGB),60191,62232,25510,18392,18392,0
,83 - DARBHANGAदरभंगा,BJP (NDA),BJP (NDA),93723,97453,3730,VIP,VIP,69176,72806,24547,24593,24593,0
,84 - HAYAGHATहयाघाट,JDU (NDA),BJP/NDA (NDA),-,-,-,-,-,-,-,-,-,±5000,-
,85 - BAHADURPURबहादुरपुर,BJP (NDA),JDU/NDA (NDA),-,-,-,-,-,-,-,-,-,±5000,-
,86 - KEOTIकेवटी,BJP (NDA),BJP (NDA),-,-,-,-,-,-,-,-,-,±5000,-
,87 - JALEजाले,BJP (NDA),BJP (NDA),98401,100496,2095,INC (MGB),INC (MGB),54342,78634,44059,21862,37059,-15197
MUZAFFARPURमुजफ्फरपुर,88 - GAIGHATगायघाट,JDU (NDA),JDU (NDA),80755,108104,27349,RJD (MGB),RJD (MGB),75101,84687,5654,23417,12654,10763
,89 - AURAIऔराई,BJP (NDA),BJP (NDA),-,-,-,-,-,-,-,-,-,±5000,-
,90 - MINAPURमीनापुर,RJD (MGB),JDU (NDA),-,-,-,-,-,-,-,-,-,±5000,-
,91 - BOCHAHA (SC)बोचहां (अ.जा.),LJP (NDA),LJP (NDA),90923,108186,17263,RJD (MGB),RJD (MGB),84228,87870,6695,20316,13695,6621
