Constituency Name,YSRCP Expected,YSRCP Actual,TDP & JNP & BJP Expected,TDP & JNP & BJP Actual,Congress & CPI Expected,Congress & CPI Actual,NOTA Expected,NOTA Actual,Others Expected,Others Actual,Winning Candidate,Expected Winner (SGED),Actual Winner 2024,SGED Winning Margin,Win Margin ±5000 Votes Party By SGED,Actual Margin 2024,Vote %,Total Votes,Difference After Actullality
Rajanagaram,94881,71946,89402,105995,1470,1901,2539,2975,1202,8121,Jakkampudi Raja,YSRCP,JNP,5479,5479,NaN,88.00%,190938,-
Rajahmundry City,64769,51887,110594,123291,2560,1918,1536,1569,1280,3486,Adireddy Vasu,TDP,TDP,45824,50825,71404,68.00%,182151,-20579
Rajamundry Rural,75372,64970,117401,129060,2802,2728,1681,2699,1961,2601,Gorantla Butchaiah Chowdary,TDP,TDP,42029,47029,64090,73.00%,202058,-17061
Jaggampeta,84182,60917,102018,113593,946,1457,2973,1928,2161,16084,Jyothula Nehru,TDP,TDP,17836,22836,56676,84.00%,193979,-33840
Rampachodavaram,98139,80948,90057,90087,4811,21265,4426,7269,10583,10939,-,YSRCP,TDP,8082,8082,NaN,75.00%,210508,-
Kovvur,66381,58797,86288,92743,1699,1897,2106,2465,1698,3209,Muppidi Venkateswara Rao,TDP,TDP,19907,24907,33946,86.00%,159111,-9039
Nidadavole,77695,69395,98359,102699,1984,1495,1653,2144,991,6770,Kandula Durgesh,JNP,JNP,20663,25664,33304,85.00%,182503,-7640
Achanta,64382,58848,80478,85402,1700,1872,1474,1673,1020,2746,Pithani Satyanarayana,TDP,TDP,16095,21096,26544,83.00%,150541,-5448
Palakollu,51646,45169,103086,113114,2058,1945,1235,919,2469,2066,Nimmala Rama Naidu,TDP,TDP,51440,56440,67945,82.00%,163213,-11505
Narasapuram,52360,44378,86493,94116,1988,1915,1326,1216,1656,3793,Bommidi Nayakar,JNP,JNP,34133,39133,49738,84.00%,145418,-10605
